capability_code,Service,Purpose,Inputs,Outputs,Service Level,Governance,Success,Consumers
requirements-elicitation,Requirements Discovery Service,Surface stakeholder needs before design begins,"stakeholder access, business objective stated by the sponsor, prior domain knowledge",discovered business requirement set,"completeness, stakeholder coverage, ambiguity-free",requirements-management policy,sponsor confirms requirement set represents intent,"requirements-analysis, architecture-design"
understanding-business-domain,Domain Model Service,give the organisation a shared model of the business it serves,"business documentation, stakeholder interviews, existing domain artefacts","validated domain model, terminology, business rules","consistency, terminological precision",Ontology Model policy,domain experts ratify the model,"Requirements Engineering, Architecture, Knowledge Management"
requirements-analysis,Requirements Analysis Service,"decompose and structure elicited requirements into a coherent set, resolving gaps and conflicts before modelling or validation begins","the discovered business requirement set (#1's output), stakeholder context and constraints","a structured, decomposed, categorised requirement set with gaps and conflicts identified and resolved or explicitly flagged","completeness of decomposition, no unresolved conflict left silent, traceability from each detailed requirement back to its source statement, consistent categorisation","requirements-management policy, decomposition and traceability standard",the analysed requirement set is accepted as ready for modelling (#4) or validation (#3) without needing further raw elicitation,"Modelling complex systems (#4), Validating engineering requirements (#3) "
requirements-validation,Requirement Validation Service,"confirm discovered requirements are correct, complete and agreed","discovered requirement set, acceptance criteria","validated, approved requirement baseline","traceability, stakeholder sign-off, no unresolved conflict",change-control policy,requirement baseline approved and frozen,"Architecture, Software Construction, Verification"
modelling-complex-systems,System Model Service,represent structural and behavioural complexity before committing to design,"validated requirements, domain model, constraints",system model (structural/behavioural views),"internal consistency, completeness against requirements",modelling standard,model reviewed and accepted as basis for architecture,Architecture
architecture-design,Architectural Review Service,evaluate proposed solutions for architectural integrity and organisational alignment,"approved solution proposal, business requirements, architectural constraint, applicable standard","approved architectural decision, documented rationale, identified risk, recommendation","compliance with architecture principle, complete reasoning, full traceability","enterprise architecture policy, security standard, technology standard, regulatory obligation","decision approved, risk addressed, traceability established","Software Construction, Project Governance"
software-construction,Software Implementation Service,deliver a working component satisfying agreed expectation,"architectural guidance, implementation standard","implemented software component, implementation artefact","functional correctness, adherence to standard, maintainability","coding standard, security policy",component satisfies architectural and functional specification,Verification
software-design,Detailed Design Service,"produce the detailed, element-level design of a specific component before construction begins","architectural guidance and system-level structure (#5's output), analysed requirements (#58's output)","a detailed design specification — module and class structure, interfaces, interaction and sequence design, data design, algorithm choice ","internal consistency, conformance to the architectural constraints it was handed, completeness (no significant design decision left for the developer to invent unspecified), testability of the resulting structure","design standard, architecture-conformance policy",the design is accepted as ready for construction — a developer can implement against it without needing to make further design decisions,Constructing software systems (#6)
engineering-configuration,Baseline Management Service,preserve version integrity of every engineering artefact,"artefact versions, change requests","managed baseline, version-integrity record","consistency, no untracked drift",configuration-management policy,baseline reproducible on demand,every capability
software-validation,Quality Assurance Service,provide justified confidence the implementation satisfies specification,"implemented software, requirement baseline, test standard","verification evidence, defect findings, confidence assessment","coverage, defect-detection effectiveness","quality policy, compliance standard",confidence sufficient to justify release,Release Management
engineering-documentation,Technical Documentation Service,"keep an accurate, current representation of engineering knowledge","architectural decisions, implementation artefacts, requirement baseline",technical and user documentation,"currency, completeness, clarity",documentation standard,documentation matches current system state,"Operations, Knowledge Management, external customers"
protect-organisational-assets,Vulnerability Assessment Service,identify and reduce exposure to security threat,"system artefacts, threat intelligence","threat assessment, vulnerability findings, policy enforcement record","coverage, false-negative minimisation","security policy, regulatory obligation",no unmitigated critical vulnerability at release,"Architecture, Software Construction, Release Management"
governing-engineering-decisions,Decision Validation Service,ensure engineering decisions comply with policy before taking effect,"proposed decision, applicable policy","approved or rejected decision, rationale","consistency, explainability",decision-governance policy,decision recorded with traceable rationale,every capability
