capability,role,worktypes
"Discovering business requirements","Stakeholder Discovery","[Stakeholder Identification, Stakeholder Profiling, Stakeholder Context Discovery]"
"Discovering business requirements","Requirement Elicitation","[Interviewing, Workshop Facilitation, Observation, Questioning, Surveying]"
"Discovering business requirements","Requirement Analysis","[Requirement Extraction, Requirement Clarification, Requirement Decomposition, Requirement Classification]"
"Discovering business requirements","Requirement Synthesis","[Requirement Consolidation, Conflict Identification, Intent Synthesis, Requirement Structuring]"
"Discovering business requirements","Requirement Baseline Management","[Requirement Baseline Creation, Requirement Baseline Maintenance, Requirement Change Tracking]"

"Understanding business domains","Domain Discovery","[Domain Concept Discovery, Business Context Discovery, Domain Boundary Identification]"
"Understanding business domains","Domain Analysis","[Business Process Analysis, Entity Analysis, Relationship Analysis, Rule Analysis]"
"Understanding business domains","Domain Modelling","[Concept Modelling, Entity Modelling, Relationship Modelling, Behaviour Modelling]"
"Understanding business domains","Domain Knowledge Capture","[Domain Knowledge Extraction, Knowledge Structuring, Knowledge Recording]"
"Understanding business domains","Domain Validation","[Domain Model Review, Domain Behaviour Validation, Domain Knowledge Validation]"

"Validating engineering requirements","Requirement Validation","[Requirement Review, Requirement Validation, Requirement Acceptance Checking]"
"Validating engineering requirements","Requirement Consistency Analysis","[Consistency Checking, Conflict Detection, Dependency Checking]"
"Validating engineering requirements","Requirement Completeness Analysis","[Completeness Checking, Missing Requirement Detection, Boundary Analysis]"
"Validating engineering requirements","Requirement Feasibility Analysis","[Technical Feasibility, Operational Feasibility, Resource Feasibility, Constraint Analysis]"
"Validating engineering requirements","Requirement Traceability","[Requirement Linking, Traceability Verification, Traceability Gap Detection]"

"Modelling complex systems","System Modelling","[System Boundary Modelling, Structural Modelling, System Decomposition]"
"Modelling complex systems","Behaviour Modelling","[State Modelling, Process Modelling, Interaction Modelling, Behaviour Specification]"
"Modelling complex systems","Structural Modelling","[Component Modelling, Entity Modelling, Relationship Modelling, Dependency Modelling]"
"Modelling complex systems","Dependency Modelling","[Dependency Identification, Dependency Mapping, Dependency Analysis]"
