capability name,Description,roles,worktypes
"Discovering business requirements","Discovering business requirements","[Stakeholder Discovery, Requirement Elicitation, Requirement Analysis, Requirement Synthesis, Requirement Baseline Management]","[Stakeholder Interviews, Workshop Facilitation, Observation, Document Analysis, Requirement Elicitation, Requirement Extraction, Requirement Clarification, Requirement Synthesis, Requirement Baseline Creation]"
"Understanding business domains","Understanding business domains","[Domain Discovery, Domain Analysis, Domain Modelling, Domain Knowledge Capture, Domain Validation]","[Domain Discovery, Domain Research, Business Process Analysis, Concept Identification, Entity Identification, Relationship Analysis, Domain Modelling, Domain Knowledge Capture, Domain Model Validation]"
"Validating engineering requirements","Validating engineering requirements","[Requirement Validation, Requirement Consistency Analysis, Requirement Completeness Analysis, Requirement Feasibility Analysis, Requirement Traceability]","[Requirement Review, Requirement Consistency Checking, Requirement Completeness Checking, Requirement Feasibility Assessment, Requirement Ambiguity Detection, Requirement Traceability Analysis, Requirement Validation]"
"Modelling complex systems","Modelling complex systems","[System Modelling, Behaviour Modelling, Structural Modelling, Dependency Modelling, Model Validation]","[Structural Modelling, Behaviour Modelling, State Modelling, Process Modelling, Dependency Modelling, Interaction Modelling, Data Modelling, Model Validation]"
"Designing software architecture","Designing software architecture","[Architecture Design, Architecture Analysis, Architecture Decomposition, Architecture Evaluation, Architecture Evolution]","[Architecture Definition, Architecture Decomposition, Component Design, Interface Design, Technology Evaluation, Architecture Analysis, Architecture Evaluation, Architecture Evolution]"
"Constructing software systems","Constructing software systems","[Implementation, Component Ownership, Code Review, Integration, Defect Correction, Refactoring, Technical Debt Remediation, Build and Packaging, Development Tooling, Implementation Verification]","[Coding, Component Construction, Feature Construction, Interface Construction, Code Review, Code Integration, Defect Correction, Refactoring, Technical Debt Remediation, Build Configuration, Packaging, Development Automation, Unit Verification]"
"Managing engineering configuration","Managing engineering configuration","[Configuration Identification, Version Management, Baseline Management, Configuration Change Tracking, Configuration Status Accounting, Configuration Audit]","[Configuration Identification, Version Control, Branch Management, Baseline Creation, Configuration Change Tracking, Configuration Comparison, Configuration Status Recording, Configuration Verification]"
"Verifying software quality","Verifying software quality","[Quality Verification, Test Design, Test Execution, Test Automation, Defect Detection, Quality Measurement]","[Test Planning, Test Design, Test Case Development, Test Data Preparation, Test Execution, Test Automation, Defect Detection, Defect Reproduction, Quality Measurement, Test Result Analysis]"
"Documenting engineering work","Documenting engineering work","[Engineering Documentation, Technical Writing, Documentation Maintenance, Documentation Validation, Documentation Structuring]","[Document Creation, Technical Writing, Design Documentation, Operational Documentation, Documentation Structuring, Documentation Update, Documentation Review, Documentation Validation]"
"Protecting organisational assets","Protecting organisational assets","[Asset Protection, Access Protection, Data Protection, Security Monitoring, Vulnerability Management, Threat Analysis]","[Asset Identification, Access Control, Data Protection, Secret Protection, Vulnerability Identification, Vulnerability Assessment, Security Monitoring, Threat Analysis, Exposure Assessment]"
